id,annee,departement,parti,bloc_politique,n_chars,n_loc_local,n_loc_national,n_loc_total,n_intl,local_dens,national_dens,intl_dens,scale_score,has_intl,dominant_scale
EL067_L_1973_03_062_02_1_PF_08,1973,Pas-de-Calais,Soutien au/du PrÃ©sident,non classé,3277,1,0,1,1,0.3051571559353067,0.0,0.3051571559353067,1.0,True,local
EL067_L_1973_03_062_03_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun,non classé,3244,1,0,1,1,0.3082614056720098,0.0,0.3082614056720098,1.0,True,local
EL067_L_1973_03_062_03_1_PF_02,1973,Pas-de-Calais,non mentionnÃ©,non classé,3777,0,0,0,1,0.0,0.0,0.2647603918453799,2.0,True,supranational
EL067_L_1973_03_062_03_1_PF_03,1973,Pas-de-Calais,non mentionnÃ©,non classé,2372,1,0,1,3,0.4215851602023609,0.0,1.2647554806070826,1.5,True,supranational
EL067_L_1973_03_062_03_1_PF_04,1973,Pas-de-Calais,non mentionnÃ©,non classé,5482,1,0,1,1,0.18241517694272164,0.0,0.18241517694272164,1.0,True,local
EL067_L_1973_03_062_04_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun;Union populaire et victoire du programme commun,non classé,3121,0,0,0,1,0.0,0.0,0.32041012495994875,2.0,True,supranational
EL067_L_1973_03_062_04_1_PF_02,1973,Pas-de-Calais,non mentionnÃ©,non classé,2740,1,0,1,1,0.36496350364963503,0.0,0.36496350364963503,1.0,True,local
EL067_L_1973_03_062_04_1_PF_03,1973,Pas-de-Calais,non mentionnÃ©,non classé,3968,1,0,1,0,0.25201612903225806,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_04_1_PF_04,1973,Pas-de-Calais,non mentionnÃ©,non classé,5843,4,0,4,4,0.6845798391237378,0.0,0.6845798391237378,1.0,True,local
EL067_L_1973_03_062_04_1_PF_05,1973,Pas-de-Calais,MajoritÃ©,non classé,2931,1,0,1,1,0.34118048447628796,0.0,0.34118048447628796,1.0,True,local
EL067_L_1973_03_062_04_1_PF_06,1973,Pas-de-Calais,Changement dans le calme,non classé,3291,1,0,1,2,0.3038590094196293,0.0,0.6077180188392586,1.3333333333333333,True,supranational
EL067_L_1973_03_062_04_1_PF_07,1973,Pas-de-Calais,Union pour la majoritÃ© prÃ©sidentielle,non classé,3267,1,0,1,1,0.3060912151821243,0.0,0.3060912151821243,1.0,True,local
EL067_L_1973_03_062_05_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun;Union populaire et victoire du programme commun,non classé,2834,0,0,0,0,0.0,0.0,0.0,,False,inconnu
EL067_L_1973_03_062_05_1_PF_02,1973,Pas-de-Calais,non mentionnÃ©,non classé,9815,1,0,1,1,0.10188487009679063,0.0,0.10188487009679063,1.0,True,local
EL067_L_1973_03_062_05_1_PF_03,1973,Pas-de-Calais,non mentionnÃ©,non classé,7464,1,0,1,5,0.1339764201500536,0.0,0.6698821007502679,1.6666666666666667,True,supranational
EL067_L_1973_03_062_05_1_PF_04,1973,Pas-de-Calais,non mentionnÃ©,non classé,3065,1,0,1,0,0.3262642740619902,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_05_1_PF_05,1973,Pas-de-Calais,non mentionnÃ©,non classé,4761,0,0,0,3,0.0,0.0,0.630119722747322,2.0,True,supranational
EL067_L_1973_03_062_05_1_PF_06,1973,Pas-de-Calais,Changement dans le calme,non classé,5911,1,0,1,13,0.1691761123329386,0.0,2.1992894603282016,1.8571428571428572,True,supranational
EL067_L_1973_03_062_05_1_PF_07,1973,Pas-de-Calais,DÃ©veloppement social et Ã©conomique du Boulonnais,non classé,3728,0,0,0,0,0.0,0.0,0.0,,False,inconnu
EL067_L_1973_03_062_06_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun;Union populaire et victoire du programme commun,non classé,3141,0,0,0,1,0.0,0.0,0.3183699458771092,2.0,True,supranational
EL067_L_1973_03_062_06_1_PF_02,1973,Pas-de-Calais,non mentionnÃ©,non classé,9822,1,0,1,1,0.1018122581958868,0.0,0.1018122581958868,1.0,True,local
EL067_L_1973_03_062_06_1_PF_03,1973,Pas-de-Calais,non mentionnÃ©,non classé,3334,1,0,1,3,0.29994001199760045,0.0,0.8998200359928015,1.5,True,supranational
EL067_L_1973_03_062_06_1_PF_04,1973,Pas-de-Calais,non mentionnÃ©,non classé,5267,1,0,1,0,0.18986140117714068,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_06_1_PF_05,1973,Pas-de-Calais,non mentionnÃ©,non classé,7678,0,0,0,7,0.0,0.0,0.9116957541026309,2.0,True,supranational
EL067_L_1973_03_062_06_1_PF_06,1973,Pas-de-Calais,Changement dans le calme,non classé,4124,1,0,1,2,0.24248302618816686,0.0,0.4849660523763337,1.3333333333333333,True,supranational
EL067_L_1973_03_062_07_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun;Union populaire et victoire du programme commun,non classé,3196,0,0,0,1,0.0,0.0,0.31289111389236546,2.0,True,supranational
EL067_L_1973_03_062_07_1_PF_02,1973,Pas-de-Calais,UnitÃ© populaire pour le pouvoir aux travailleurs,gauche,7958,1,0,1,0,0.12565971349585323,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_07_1_PF_03,1973,Pas-de-Calais,Changer la vie,non classé,1581,1,0,1,0,0.6325110689437066,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_07_1_PF_04,1973,Pas-de-Calais,non mentionnÃ©,non classé,3647,0,0,0,0,0.0,0.0,0.0,,False,inconnu
EL067_L_1973_03_062_07_1_PF_05,1973,Pas-de-Calais,non mentionnÃ©,non classé,3386,1,0,1,1,0.29533372711163614,0.0,0.29533372711163614,1.0,True,local
EL067_L_1973_03_062_07_1_PF_06,1973,Pas-de-Calais,Union pour la majoritÃ© prÃ©sidentielle,non classé,3800,1,0,1,1,0.2631578947368421,0.0,0.2631578947368421,1.0,True,local
EL067_L_1973_03_062_07_1_PF_07,1973,Pas-de-Calais,Votez pour vos idÃ©es,non classé,9446,1,0,1,1,0.10586491636671608,0.0,0.10586491636671608,1.0,True,local
EL067_L_1973_03_062_08_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun;Union populaire et victoire du programme commun,non classé,3186,0,0,0,1,0.0,0.0,0.31387319522912743,2.0,True,supranational
EL067_L_1973_03_062_08_1_PF_02,1973,Pas-de-Calais,UnitÃ© populaire pour le pouvoir aux travailleurs,gauche,10248,1,0,1,0,0.09758001561280251,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_08_1_PF_03,1973,Pas-de-Calais,Union de la gauche socialiste et dÃ©mocrate,gauche,4800,2,0,2,0,0.4166666666666667,0.0,0.0,0.0,False,local
EL067_L_1973_03_062_08_1_PF_04,1973,Pas-de-Calais,MajoritÃ©,non classé,4815,3,0,3,2,0.6230529595015576,0.0,0.41536863966770504,0.8,True,local
EL067_L_1973_03_062_08_1_PF_05,1973,Pas-de-Calais,non mentionnÃ©,non classé,4192,0,0,0,1,0.0,0.0,0.23854961832061067,2.0,True,supranational
EL067_L_1973_03_062_08_1_PF_06,1973,Pas-de-Calais,Union pour la majoritÃ© prÃ©sidentielle,non classé,3269,1,0,1,1,0.30590394616090544,0.0,0.30590394616090544,1.0,True,local
EL067_L_1973_03_062_09_1_PF_01,1973,Pas-de-Calais,SuccÃ¨s du programme commun,non classé,3235,1,0,1,1,0.3091190108191654,0.0,0.3091190108191654,1.0,True,local
EL067_L_1973_03_062_09_1_PF_02,1973,Pas-de-Calais,Soutien au/du PrÃ©sident,non classé,3211,0,0,0,0,0.0,0.0,0.0,,False,inconnu
EL067_L_1973_03_062_09_1_PF_03,1973,Pas-de-Calais,Nouveau contrat social,non classé,2140,1,0,1,4,0.4672897196261682,0.0,1.8691588785046729,1.6,True,supranational
EL067_L_1973_03_062_09_1_PF_04,1973,Pas-de-Calais,Changement dans le calme rÃ©formes dans l'ordre,non classé,3301,1,0,1,1,0.30293850348379275,0.0,0.30293850348379275,1.0,True,local
EL067_L_1973_03_062_09_1_PF_05,1973,Pas-de-Calais,Union pour la majoritÃ© prÃ©sidentielle,non classé,3347,1,0,1,1,0.2987750224081267,0.0,0.2987750224081267,1.0,True,local
EL068_L_1973_03_063_01_1_PF_01,1973,Puy-de-DÃ´me,Union de la gauche socialiste et dÃ©mocrate,gauche,7008,0,1,1,1,0.0,0.14269406392694065,0.14269406392694065,1.5,True,supranational
EL068_L_1973_03_063_01_1_PF_02,1973,Puy-de-DÃ´me,En finir avec le rÃ©gime actuel,non classé,5892,0,1,1,2,0.0,0.16972165648336726,0.3394433129667345,1.6666666666666667,True,supranational
EL068_L_1973_03_063_01_1_PF_03,1973,Puy-de-DÃ´me,Changement dans le calme,non classé,3517,0,2,2,3,0.0,0.5686664771111744,0.8529997156667615,1.6,True,supranational
EL068_L_1973_03_063_01_1_PF_04,1973,Puy-de-DÃ´me,Union populaire et victoire du programme commun,non classé,7298,0,1,1,1,0.0,0.13702384214853383,0.13702384214853383,1.5,True,supranational
EL068_L_1973_03_063_01_1_PF_05,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,6792,0,1,1,5,0.0,0.14723203769140164,0.7361601884570083,1.8333333333333333,True,supranational
EL068_L_1973_03_063_01_1_PF_06,1973,Puy-de-DÃ´me,Pouvoir des travailleurs,gauche,9908,0,0,0,5,0.0,0.0,0.5046427129592249,2.0,True,supranational
EL068_L_1973_03_063_01_1_PF_07,1973,Puy-de-DÃ´me,Victoire du socialisme,non classé,8075,0,1,1,4,0.0,0.12383900928792571,0.49535603715170284,1.8,True,supranational
EL068_L_1973_03_063_02_1_PF_01,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,6524,0,2,2,3,0.0,0.30656039239730226,0.4598405885959534,1.6,True,supranational
EL068_L_1973_03_063_02_1_PF_02,1973,Puy-de-DÃ´me,Changement dans le calme,non classé,9854,0,1,1,7,0.0,0.10148163182463975,0.7103714227724782,1.875,True,supranational
EL068_L_1973_03_063_02_1_PF_03,1973,Puy-de-DÃ´me,Union populaire et victoire du programme commun,non classé,5592,0,1,1,0,0.0,0.178826895565093,0.0,1.0,False,national
EL068_L_1973_03_063_02_1_PF_04,1973,Puy-de-DÃ´me,En finir avec le rÃ©gime actuel,non classé,5945,0,1,1,2,0.0,0.16820857863751051,0.33641715727502103,1.6666666666666667,True,supranational
EL068_L_1973_03_063_02_1_PF_05,1973,Puy-de-DÃ´me,Union de la gauche socialiste et dÃ©mocrate,gauche,2921,0,0,0,1,0.0,0.0,0.3423485107839781,2.0,True,supranational
EL068_L_1973_03_063_02_1_PF_06,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,9656,0,1,1,1,0.0,0.10356255178127588,0.10356255178127588,1.5,True,supranational
EL068_L_1973_03_063_03_1_PF_01,1973,Puy-de-DÃ´me,Union de la gauche socialiste et dÃ©mocrate,gauche,8333,0,0,0,2,0.0,0.0,0.24000960038401536,2.0,True,supranational
EL068_L_1973_03_063_03_1_PF_02,1973,Puy-de-DÃ´me,MajoritÃ© prÃ©sidentielle,non classé,5148,0,1,1,4,0.0,0.19425019425019427,0.7770007770007771,1.8,True,supranational
EL068_L_1973_03_063_03_1_PF_03,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,9656,0,1,1,1,0.0,0.10356255178127588,0.10356255178127588,1.5,True,supranational
EL068_L_1973_03_063_03_1_PF_04,1973,Puy-de-DÃ´me,Union populaire et victoire du programme commun,non classé,4636,0,1,1,0,0.0,0.2157031924072476,0.0,1.0,False,national
EL068_L_1973_03_063_03_1_PF_05,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,4095,0,1,1,1,0.0,0.24420024420024422,0.24420024420024422,1.5,True,supranational
EL068_L_1973_03_063_04_1_PF_01,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,6674,0,1,1,2,0.0,0.14983518130056936,0.2996703626011387,1.6666666666666667,True,supranational
EL068_L_1973_03_063_04_1_PF_02,1973,Puy-de-DÃ´me,Union pour l'expansion de Thiers-Ambert,non classé,4624,0,1,1,1,0.0,0.21626297577854672,0.21626297577854672,1.5,True,supranational
EL068_L_1973_03_063_04_1_PF_03,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,9653,0,1,1,1,0.0,0.10359473738734072,0.10359473738734072,1.5,True,supranational
EL068_L_1973_03_063_04_1_PF_04,1973,Puy-de-DÃ´me,Union populaire et victoire du programme commun,non classé,6938,0,1,1,0,0.0,0.14413375612568463,0.0,1.0,False,national
EL068_L_1973_03_063_04_1_PF_05,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,4633,0,1,1,2,0.0,0.2158428663932657,0.4316857327865314,1.6666666666666667,True,supranational
EL068_L_1973_03_063_05_1_PF_01,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,3359,0,1,1,0,0.0,0.29770765108663294,0.0,1.0,False,national
EL068_L_1973_03_063_05_1_PF_02,1973,Puy-de-DÃ´me,Union populaire et victoire du programme commun,non classé,6902,0,2,2,0,0.0,0.28977108084613157,0.0,1.0,False,national
EL068_L_1973_03_063_05_1_PF_03,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,9655,0,1,1,1,0.0,0.1035732780942517,0.1035732780942517,1.5,True,supranational
EL068_L_1973_03_063_05_1_PF_04,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,3369,0,1,1,4,0.0,0.2968239833778569,1.1872959335114277,1.8,True,supranational
EL068_L_1973_03_063_05_1_PF_05,1973,Puy-de-DÃ´me,non mentionnÃ©,non classé,9470,0,1,1,1,0.0,0.10559662090813093,0.10559662090813093,1.5,True,supranational
EL068_L_1973_03_064_01_1_PF_01,1973,PyrÃ©nÃ©es-Atlantiques,non mentionnÃ©,non classé,2345,0,1,1,0,0.0,0.42643923240938164,0.0,1.0,False,national
EL068_L_1973_03_064_01_1_PF_02,1973,PyrÃ©nÃ©es-Atlantiques,En finir avec la sociÃ©tÃ© actuelle,non classé,9213,0,1,1,1,0.0,0.10854227721697603,0.10854227721697603,1.5,True,supranational
EL068_L_1973_03_064_01_1_PF_03,1973,PyrÃ©nÃ©es-Atlantiques,Pouvoir des travailleurs,gauche,9186,0,0,0,5,0.0,0.0,0.5443065534509035,2.0,True,supranational
EL068_L_1973_03_064_01_1_PF_04,1973,PyrÃ©nÃ©es-Atlantiques,non mentionnÃ©,non classé,5531,0,0,0,3,0.0,0.0,0.5423973964924969,2.0,True,supranational
EL068_L_1973_03_064_01_1_PF_05,1973,PyrÃ©nÃ©es-Atlantiques,Union populaire et victoire du programme commun,non classé,3864,0,1,1,0,0.0,0.2587991718426501,0.0,1.0,False,national
EL068_L_1973_03_064_01_1_PF_06,1973,PyrÃ©nÃ©es-Atlantiques,Votez contre les hommes de la dÃ©mission nationale,non classé,2453,0,0,0,2,0.0,0.0,0.8153281695882594,2.0,True,supranational
EL068_L_1973_03_064_01_1_PF_07,1973,PyrÃ©nÃ©es-Atlantiques,Union de la gauche socialiste et dÃ©mocrate,gauche,6555,0,2,2,0,0.0,0.30511060259344014,0.0,1.0,False,national
EL068_L_1973_03_064_02_1_PF_01,1973,PyrÃ©nÃ©es-Atlantiques,UnitÃ© d'action unitÃ© de candidature,non classé,4605,0,1,1,1,0.0,0.21715526601520085,0.21715526601520085,1.5,True,supranational
EL068_L_1973_03_064_02_1_PF_02,1973,PyrÃ©nÃ©es-Atlantiques,non mentionnÃ©,non classé,5472,0,0,0,2,0.0,0.0,0.36549707602339176,2.0,True,supranational
EL068_L_1973_03_064_02_1_PF_03,1973,PyrÃ©nÃ©es-Atlantiques,Union de la gauche socialiste et dÃ©mocrate,gauche,5217,0,0,0,1,0.0,0.0,0.19168104274487255,2.0,True,supranational
EL068_L_1973_03_064_02_1_PF_04,1973,PyrÃ©nÃ©es-Atlantiques,Pouvoir des travailleurs,gauche,9186,0,0,0,5,0.0,0.0,0.5443065534509035,2.0,True,supranational
EL068_L_1973_03_064_02_1_PF_05,1973,PyrÃ©nÃ©es-Atlantiques,En finir avec la sociÃ©tÃ© actuelle,non classé,8702,0,1,1,0,0.0,0.11491611123879568,0.0,1.0,False,national
EL068_L_1973_03_064_02_1_PF_06,1973,PyrÃ©nÃ©es-Atlantiques,Union populaire et victoire du programme commun,non classé,3848,0,1,1,0,0.0,0.2598752598752599,0.0,1.0,False,national
EL068_L_1973_03_064_03_1_PF_01,1973,PyrÃ©nÃ©es-Atlantiques,non mentionnÃ©,non classé,5675,0,2,2,0,0.0,0.3524229074889868,0.0,1.0,False,national
EL068_L_1973_03_064_03_1_PF_02,1973,PyrÃ©nÃ©es-Atlantiques,Union populaire et victoire du programme commun,non classé,3867,0,1,1,0,0.0,0.2585983966899405,0.0,1.0,False,national
EL068_L_1973_03_064_03_1_PF_03,1973,PyrÃ©nÃ©es-Atlantiques,non mentionnÃ©,non classé,4916,0,1,1,1,0.0,0.2034174125305126,0.2034174125305126,1.5,True,supranational
EL068_L_1973_03_064_03_1_PF_04,1973,PyrÃ©nÃ©es-Atlantiques,Union de la gauche socialiste et dÃ©mocrate,gauche,2589,0,1,1,1,0.0,0.3862495171881035,0.3862495171881035,1.5,True,supranational
EL068_L_1973_03_064_04_1_PF_01,1973,PyrÃ©nÃ©es-Atlantiques,non mentionnÃ©,non classé,2503,0,1,1,3,0.0,0.3995205753096284,1.1985617259288852,1.75,True,supranational
EL068_L_1973_03_064_04_1_PF_02,1973,PyrÃ©nÃ©es-Atlantiques,Changement dans le calme,non classé,5973,0,1,1,1,0.0,0.16742005692281936,0.16742005692281936,1.5,True,supranational
